name;description;exc;trade;;;;
;CCTV KITS - HIK VISION  HD-TVI;;;;;;
SP150-5;HIK HD-TVI 4Ch Hi-Res DVR 4 Cam Base Kit;2492.00;2865.80;;;;
SP151-5;HIK HD-TVI 8Ch Hi-Res DVR 8 Cam Base Kit;4475.00;5146.25;;;;
SP152-5;HIK HD-TVI 16Ch HiResDVR 16 Cam Base Kit;7593.00;8731.95;;;;
;;;;;;;
SP150-3;HIK HD-TVI 4 Channel DVR MAXI Kit;5124.00;5892.60;;;;
SP151-3;HIK HD-TVI 8 Ch DVR 8 Camera MAXI Kit;6786.00;7803.90;;;;
SP152-3;HIK HD-TVI 16 Ch DVR 16 Cam MAXI Kit;11379.00;13085.85;;;;
;;;;;;;
;;;;;;;
SP150;HIK HD-TVI 4 Ch Hi-Res DVR Installer Kit;7081.00;8143.15;;;;
SP151;HIK HD-TVI 8 Ch Hi-Res DVR Installer Kit;9111.00;10477.65;;;;
SP152;HIK HD-TVI 16Ch Hi-Res DVR Installer Kit;12791.00;14709.65;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
CC231;SP Cam 1080p in Smoke Detector Housing 4;542.00;623.30;;;;
CC136;SP Cam 1080p Mini Pinhole 4-in-1 3.7 Len;549.00;631.35;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;DVRs - HIKVISION 4 Channel HD-TVI;;;;;;
CD01;DVR 4-ch 1080p Lite eSSD DVR 330GB Built;1516.00;1743.40;NEW;DS-E04HGHI-B (STD);;
CD07;DVR Mini 4 Ch HD-TVI/AHD/Analog 25fps 1U;703.00;808.45;;DS-7104HGHI-K1;;
CD07-1;DVR Mini 4Ch HD-TVI/AHD/Analog 25fps 1TB;1595.00;1834.25;;DS-7104HGHI-F1;;
CD21;Hik 4Ch Turbo 4.0 DVR HD-TVI 1080p;1046.00;1202.90;;DS-7104HQHI-K1;;
CD21-1;Hik 4Ch Turbo 4.0 DVR HD-TVI 1TB HDD;1880.30;2162.35;;DS-7104HQHI-K1;;
CD24;HIK 4 Ch AcuSense DVR - 2ch False Alarm;1259.00;1447.85;;iDS-7204HQHI-M1/S/REGAL/Alarm;;
CD24-1;HIK 4 Channel AcuSense DVR incl 1TB HDD;2095.00;2409.25;;iDS-7204HQHI-M1/S;;
;DVRs - HIKVISION 8 Channel HD-TVI;;;;;;
CD02;DVR Hik 8-ch 1080p Lite eSSD DVR;1777.00;2043.55;NEW;DS-E08HGHI-B (STD);;
CD08;DVR Mini 8 Ch HD-TVI/AHD/Analog 25fps 1U;941.00;1082.15;;DS-7108HGHI-K1;;
CD08-1;DVR Mini 8Ch HD-TVI/AHD/Analog 25fps 2TB;2100.00;2415.00;;DS-7108HGHI-K1;;
CD19;HIK 8 Ch Turbo 3.0 DVR HD-TVI H264+ 4K;3569.00;4104.35;;iDS-7208HUHI-M1/S\(STD/4A+8/4ALM;;
CD19-1;HIKVISION 8-ch 5MP AcuSense DVR 1 SATA 5;4378.00;5034.70;;iDS-7208HUHI-M1/S(STD)(C)/4A+8/4ALM;;
CD22;Hik 8Ch Turbo 4.0 DVR HD-TVI 1080p;1547.00;1779.05;;DS-7108HQHI-K1;;
CD22-1;Hik 8Ch Turbo 4.0 DVR HD-TVI 2TB HDD;2674.00;3075.10;;DS-7108HQHI-K1;;
CD25;HIK 8 Ch AcuSense DVR - 4ch False Alarm;2447.00;2814.05;;iDS-7208HQHI-M1/S(STD)(C)/8A+8/4ALM;;
CD25-1;HIK 8 Ch AcuSense DVR - incl 2TB HDD;3542.00;4073.30;;iDS-7208HQHI-M1/S(STD)(C)/8A+8/4ALM;;
;DVRs - HIKVISION 16/32 Channel HD-TVI;;;;;;
CD09;DVR Mini 16Ch HD-TVI/AHD/Analog 25fps 1U;1611.00;1852.65;;DS-7116HGHI-K1;;
CD09-1;DVR Mini 16Ch HD-TVI/AHD/Analog 25fps 3T;3099.00;3563.85;;DS-7116HGHI-K1;;
CD20;HIK 16-ch 5MP AcuSense DVR 2 SATA;7191.00;8269.65;;iDS-7216HUHI-M2/S(STD)(E)/4A+16/4;;
CD20-1;HIK 16-ch 5MP AcuSense DVR 2 SATA;8786.00;10103.90;;iDS-7216HUHI-M2/S(STD)(E)/4A+16/4;;
