name;;description;;;;;exc;;;;trade
CD07;;4 Channel HD-TVI/AHD/CVBS Mini DVR;;;;;695;;;;799.25
CD07-1;;DVR 4 Channel HD-TVI/AHD/CVBS Mini DVR;;;;;1 595.00;;;;1854.95
CD21;;HIK 4Ch Turbo 4.0 DVR HD-TVI 1080p;;;;;936;;;;1076.40
CD21-1;;HIK 4Ch Turbo 4.0 DVR HD-TVI + 1TB HDD;;;;;1 753.00;;;;2015.95
CD24;;HIK 4Ch AcuSense DVR - 2ch False Alarm;;;;;1 259.00;;;;1447.85
CD24-1;;HIK 4Ch AcuSense DVR Incl 1TB HDD;;;;;2 095.00;;;;2409.25
CD08;;DVR Mini 8Ch HD-TVI/AHD/Analog 25fps 1U;;;;;1 160.00;;;;1334.00
CD08-1;;DVR Mini 8Ch HD-TVI/AHD/Analog + 2TB HDD;;;;;2 336.00;;;;2686.40
CD14-2;;HIK 8Ch HD-TVI DVR with I/O's and CVBS;;;;;1 743.00;;;;2004.45
CD14-3;;HIK 8Ch HD-TVI DVR I/O's CVBS + 2TB HDD;;;;;2 765.00;;;;3179.75
CD19;;HIK 8Ch Turbo 3.0 DVR HD-TVI H264+ 4K;;;;;3 334.00;;;;3834.10
CD19-1;;HIK 8Ch Turbo 3 DVR HD-TVI H264+ 2TB HDD;;;;;4 378.00;;;;5034.70
CD22;;HIK 8Ch Turbo 4.0 DVR HD-TVI 1080p;;;;;1 870.00;;;;2150.50
CD22-1;;HIK 8Ch Turbo 4.0 DVR HD-TVI + 2TB HDD;;;;;2 910.00;;;;3346.50
CD25;;HIK 8Ch AcuSense DVR - 4ch False Alarm;;;;;2 234.00;;;;2569.10
CD25-1;;HIK 8Ch AcuSense DVR Incl 2TB HDD;;;;;3 457.00;;;;3975.55
CD09;;DVR Mini 16Ch HD-TVI/AHD/Analog 25fps 1U;;;;;1 922.00;;;;2210.30
CD09-1;;DVR Mini 16Ch HD-TVI/AHD/Analog + 3TB HD;;;;;3 315.00;;;;3812.25
CD20;;HIK 16Ch Turbo 3.0 DVR HD-TVI H264+ 4K;;;;;6 820.00;;;;7843.00
CD20-1;;HIK 16Ch Turbo 3.0 DVR HD-TVI + 3TB HDD;;;;;8 249.00;;;;9486.35
CD23;;HIK 16Ch Turbo 4.0 DVR HD-TVI CVBS 1080p;;;;;2 896.00;;;;3330.40
CD23-1;;HIK 16Ch Turbo 4.0 DVR HD-TVI + 4TB HDD;;;;;4 463.00;;;;5132.45
CD26;;HIK 16Ch AcuSense DVR - 4ch False Alarm;;;;;4 271.00;;;;4911.65
CD26-1;;HIK 16Ch AcuSense DVR incl 4TB HDD;;;;;5 996.00;;;;6895.40
CD133;;HIK 32Ch DVR HD-TVI Tribrid 720p 4 SATA;;;;;12 236.00;;;;14071.40
CD133-1;;HIK 32Ch DVR HD-TVI Tribrid 720p 4TB HDD;;;;;13 289.00;;;;15282.35
